school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0593,Govt. Middle School Iyer,Jalandhar,Jalandhar-II,384,Upper Primary,Punjabi
SCH0176,Govt. Elementary School Barad,Moga,Bagha Purana,103,Higher Secondary,punjabi
SCH0520,Govt. Primary School Banerjee,Sangrur,Malerkotla,44,Secondary,Hindi
SCH0437,Govt. Senior Secondary School Loyal,Patiala,Rajpura,155,Secondary,Hindi
SCH0195,Govt. Elementary School Dhillon,Sangrur,Malerkotla,368,Higher Secondary,Punjabi
SCH0522,Govt. Primary School Lalla,Patiala,Samana,185,Secondary,English
SCH0384,Govt. Senior Secondary School Parekh,Ferozepur,Ferozepur,439,Primary,hindi
SCH0597,Govt. Senior Secondary School Zacharia,Moga,Moga-II,354,Higher Secondary,Hindi
SCH0528,Govt. Senior Secondary School Sunder,Patiala,Patiala,141,Primary,English
SCH0068,Govt. Primary School Mangat,Amritsar,Ajnala,390,Primary,punjabi
SCH0415,Govt. Elementary School Mandal,Ludhiana,,287,Primary,English
SCH0169,Govt. Elementary School Walia,,,102,Higher Secondary,punjabi
SCH0501,Govt. Primary School Devi,Ludhiana,Doraha,241,Upper Primary,punjabi
SCH0163,Govt. Primary School Ratta,Jalandhar,Nakodar,66,Secondary,hindi
SCH0310,Govt. Elementary School Nair,Sangrur,Malerkotla,409,Upper Primary,Punjabi
SCH0194,Govt. Elementary School Suresh,Amritsar,Amritsar-I,368,Secondary,Punjabi
SCH0153,Govt. Senior Secondary School Vohra,Amritsar,Amritsar-II,60,Higher Secondary,English
SCH0351,Govt. Senior Secondary School Morar,Patiala,Patiala,309,Secondary,English
SCH0361,Govt. Elementary School Bumb,Amritsar,Amritsar-I,213,Higher Secondary,Hindi
SCH0227,Govt. Senior Secondary School Samra,Ferozepur,Makhu,393,Secondary,Hindi
SCH0357,Govt. Middle School Bhatti,Moga,Nihal Singh Wala,45,Upper Primary,Punjabi
SCH0104,Govt. Primary School Chacko,Amritsar,Amritsar-II,363,Secondary,Punjabi
SCH0420,Govt. Elementary School Nair,Amritsar,Tarn Taran,267,higher secondary,Punjabi
SCH0075,Govt. Middle School Mody,Ferozepur,Zira,196,Secondary,hindi
SCH0452,Govt. Senior Secondary School Jaggi,Patiala,Nabha,422,Secondary,English
SCH0596,Govt. Middle School Tank,Amritsar,Tarn Taran,410,Secondary,hindi
SCH0120,Govt. Middle School Sharaf,Patiala,Rajpura,267,secondary,English
SCH0416,Govt. Middle School Batra,Moga,Moga-I,400,Upper Primary,hindi
SCH0439,Govt. Middle School Sankar,Ferozepur,,259,secondary,punjabi
SCH0581,Govt. Elementary School Srivastava,Moga,Nihal Singh Wala,353,Primary,Punjabi
SCH0208,Govt. Elementary School Rattan,Bathinda,Bathinda,345,Upper Primary,hindi
SCH0358,Govt. Elementary School Panchal,Ludhiana,Ludhiana-I,237,Higher Secondary,punjabi
SCH0527,Govt. Senior Secondary School Bath,Jalandhar,Jalandhar-II,168,primary,punjabi
SCH0366,Govt. Primary School Hari,Ferozepur,Zira,229,Secondary,punjabi
SCH0434,Govt. Primary School Bandi,Jalandhar,Jalandhar-I,393,Upper Primary,punjabi
SCH0009,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0405,Govt. Primary School Agarwal,Bathinda,Maur,254,Primary,Punjabi
SCH0037,Govt. Middle School More,Ludhiana,Ludhiana-I,78,Upper Primary,Hindi
SCH0140,Govt. Middle School Garg,Bathinda,Maur,426,Secondary,hindi
SCH0254,Govt. Primary School Kapadia,Sangrur,,70,Higher Secondary,hindi
SCH0304,Govt. Senior Secondary School Dubey,Sangrur,Dhuri,40,Higher Secondary,English
SCH0529,Govt. Middle School Ganguly,Moga,Moga-II,362,Primary,Punjabi
SCH0060,Govt. Elementary School Srinivas,Ferozepur,Makhu,382,Higher Secondary,hindi
SCH0112,Govt. Senior Secondary School Bhagat,Amritsar,,198,Primary,English
SCH0502,Govt. Middle School Yogi,Moga,Moga-I,46,Higher Secondary,English
SCH0559,Govt. Elementary School Bera,Ferozepur,Makhu,390,primary,English
SCH0381,Govt. Elementary School Varma,,Ferozepur,388,Secondary,punjabi
SCH0263,Govt. Elementary School Oak,Ludhiana,Ludhiana-I,263,Primary,English
SCH0516,Govt. Middle School Misra,Bathinda,Talwandi Sabo,360,upper primary,English
SCH0298,Govt. Senior Secondary School Sibal,Amritsar,Amritsar-II,424,Primary,Hindi
SCH0151,Govt. Primary School Dugar,Amritsar,Amritsar-I,354,Higher Secondary,hindi
SCH0267,Govt. Elementary School Basak,Amritsar,Amritsar-II,84,Higher Secondary,Punjabi
SCH0535,Govt. Elementary School Viswanathan,Sangrur,Sunam,330,Secondary,hindi
SCH0360,Govt. Senior Secondary School Bhat,Bathinda,Bathinda,203,primary,Hindi
SCH0547,Govt. Middle School Lad,Moga,Bagha Purana,251,Higher Secondary,hindi
SCH0039,Govt. Senior Secondary School Baral,Moga,Nihal Singh Wala,357,Upper Primary,Punjabi
SCH0515,Govt. Elementary School Rattan,Amritsar,Amritsar-I,174,Primary,Hindi
SCH0308,Govt. Middle School Butala,amritsar,Amritsar-II,236,primary,Hindi
SCH0199,Govt. Elementary School Nath,Moga,Bagha Purana,137,Higher Secondary,English
SCH0498,Govt. Elementary School Pillay,Moga,Moga-II,438,Primary,hindi
SCH0382,Govt. Primary School Lanka,Moga,Bagha Purana,123,Secondary,punjabi
SCH0147,Govt. Senior Secondary School Das,Moga,Bagha Purana,412,Upper Primary,Hindi
SCH0504,Govt. Senior Secondary School Barad,Moga,Bagha Purana,245,Upper Primary,English
SCH0549,Govt. Middle School Krishnamurthy,Ludhiana,,185,Upper Primary,Hindi
SCH0148,Govt. Elementary School Sastry,Jalandhar,Jalandhar-I,130,Higher Secondary,hindi
SCH0450,Govt. Primary School Kurian,Amritsar,Amritsar-I,398,Secondary,English
SCH0349,Govt. Primary School Jaggi,Jalandhar,Jalandhar-II,343,Secondary,English
SCH0326,Govt. Primary School Balasubramanian,Ferozepur,Makhu,178,secondary,hindi
SCH0421,Govt. Primary School Behl,Sangrur,Sangrur,92,Primary,hindi
SCH0124,Govt. Middle School Goda,Jalandhar,Nakodar,448,primary,Hindi
SCH0537,Govt. Senior Secondary School Jayaraman,Ferozepur,Zira,49,Secondary,Punjabi
SCH0097,Govt. Middle School Prakash,Sangrur,Sunam,236,Upper Primary,punjabi
SCH0144,Govt. Primary School Bakshi,Ferozepur,Mamdot,403,secondary,Hindi
SCH0240,Govt. Senior Secondary School Mitter,Moga,Bagha Purana,161,Upper Primary,English
SCH0404,Govt. Primary School Keer,Amritsar,Ajnala,282,Upper Primary,Punjabi
SCH0098,Govt. Elementary School Soman,Moga,Bagha Purana,41,Secondary,punjabi
SCH0372,Govt. Senior Secondary School Mody,Sangrur,Sangrur,442,higher secondary,hindi
SCH0325,Govt. Elementary School Babu,Moga,Nihal Singh Wala,116,Primary,Hindi
SCH0280,Govt. Elementary School Modi,Sangrur,Sunam,216,higher secondary,Punjabi
SCH0294,Govt. Primary School Arora,Moga,Moga-I,429,Upper Primary,Hindi
SCH0588,Govt. Senior Secondary School Sahota,Jalandhar,Jalandhar-I,254,Higher Secondary,Hindi
SCH0123,Govt. Primary School Cheema,Patiala,Nabha,159,Upper Primary,Hindi
SCH0184,Govt. Senior Secondary School Hora,Sangrur,Dhuri,327,Secondary,English
SCH0203,Govt. Middle School Grewal,Patiala,Samana,323,Higher Secondary,hindi
SCH0324,Govt. Primary School Sundaram,Amritsar,Amritsar-II,419,Primary,punjabi
SCH0247,Govt. Senior Secondary School Barad,Amritsar,Tarn Taran,164,Upper Primary,English
SCH0448,Govt. Senior Secondary School Sandal,Ludhiana,Ludhiana-II,446,Primary,punjabi
SCH0031,Govt. Primary School Mohanty,Sangrur,,424,Primary,Hindi
SCH0513,Govt. Primary School Sachdeva,Ludhiana,Ludhiana-II,412,Secondary,punjabi
SCH0440,Govt. Middle School Devan,Jalandhar,Jalandhar-I,118,Primary,hindi
SCH0546,Govt. Elementary School Prabhakar,Jalandhar,Phillaur,298,Upper Primary,English
SCH0418,Govt. Senior Secondary School Comar,Ludhiana,,369,Higher Secondary,punjabi
SCH0126,Govt. Primary School Pillay,Sangrur,Malerkotla,302,Higher Secondary,hindi
SCH0403,Govt. Primary School Garde,Ludhiana,Ludhiana-I,378,primary,punjabi
SCH0457,Govt. Elementary School Varty,amritsar,Ajnala,357,Upper Primary,English
SCH0443,Govt. Senior Secondary School Chakrabarti,Sangrur,Sangrur,98,Higher Secondary,English
SCH0224,Govt. Senior Secondary School Kunda,Ferozepur,Makhu,84,Primary,Hindi
SCH0343,Govt. Elementary School Bassi,Jalandhar,Jalandhar-I,354,Upper Primary,hindi
SCH0054,Govt. Elementary School Bajwa,Moga,Nihal Singh Wala,353,Higher Secondary,punjabi
SCH0220,Govt. Elementary School Mishra,Jalandhar,Phillaur,130,Primary,Hindi
SCH0130,Govt. Elementary School Mall,Patiala,Rajpura,271,Higher Secondary,Punjabi
SCH0560,Govt. Senior Secondary School Rajagopalan,Patiala,Samana,216,Primary,hindi
SCH0423,Govt. Senior Secondary School Master,Moga,,406,higher secondary,English
SCH0480,Govt. Primary School Brar,,Makhu,136,Primary,punjabi
SCH0562,Govt. Middle School Andra,Amritsar,,164,Upper Primary,Punjabi
SCH0425,Govt. Senior Secondary School Wason,Patiala,Nabha,101,Higher Secondary,Punjabi
SCH0101,Govt. Elementary School Saxena,Sangrur,,104,Secondary,punjabi
SCH0432,Govt. Elementary School Sura,Sangrur,Dhuri,385,Secondary,hindi
SCH0387,Govt. Middle School Varty,Moga,Bagha Purana,192,higher secondary,English
SCH0599,Govt. Senior Secondary School Vala,Ferozepur,Mamdot,63,upper primary,English
SCH0295,Govt. Primary School Sule,Bathinda,Bathinda,270,Primary,Hindi
SCH0268,Govt. Primary School Amble,Moga,Moga-I,345,Secondary,punjabi
SCH0495,Govt. Elementary School Sandal,Moga,Moga-I,398,Upper Primary,English
SCH0445,Govt. Primary School Wason,Sangrur,Dhuri,62,Upper Primary,Hindi
SCH0113,Govt. Middle School Subramaniam,Moga,Nihal Singh Wala,129,Secondary,English
SCH0180,Govt. Elementary School Sha,Moga,Nihal Singh Wala,180,primary,Hindi
SCH0451,Govt. Primary School Dasgupta,Amritsar,Ajnala,431,Higher Secondary,hindi
SCH0494,Govt. Senior Secondary School Kurian,Amritsar,Tarn Taran,364,Upper Primary,punjabi
SCH0482,Govt. Elementary School Sibal,Ferozepur,Makhu,353,Higher Secondary,hindi
SCH0374,Govt. Elementary School Yohannan,Ferozepur,Mamdot,332,Primary,hindi
SCH0315,Govt. Primary School Chakraborty,Ferozepur,,319,Higher Secondary,Punjabi
SCH0152,Govt. Elementary School Dass,Patiala,Samana,349,Upper Primary,English
SCH0172,Govt. Primary School Konda,Ludhiana,Machhiwara,231,Primary,Punjabi
SCH0234,Govt. Senior Secondary School Tak,Moga,Nihal Singh Wala,269,Higher Secondary,English
SCH0307,Govt. Elementary School Wali,,Rajpura,44,Secondary,punjabi
SCH0458,Govt. Senior Secondary School Murty,Jalandhar,Nakodar,201,upper primary,punjabi
SCH0165,Govt. Middle School Mallick,Patiala,Rajpura,218,higher secondary,Punjabi
SCH0318,Govt. Elementary School Rout,Jalandhar,Nakodar,240,Primary,Hindi
SCH0137,Govt. Senior Secondary School Dani,Ferozepur,Ferozepur,112,primary,punjabi
SCH0411,Govt. Elementary School Narayanan,Ludhiana,Ludhiana-II,379,Secondary,English
SCH0198,Govt. Elementary School Sachar,patiala,Nabha,89,Higher Secondary,Hindi
SCH0571,Govt. Elementary School Gaba,Patiala,Nabha,214,upper primary,hindi
SCH0259,Govt. Primary School Munshi,Sangrur,Dhuri,370,Primary,hindi
SCH0233,Govt. Senior Secondary School Mutti,,Ludhiana-I,281,Higher Secondary,punjabi
SCH0116,Govt. Middle School Gandhi,Ferozepur,Makhu,95,higher secondary,Hindi
SCH0121,Govt. Elementary School Deshmukh,Ludhiana,,181,Primary,Hindi
SCH0464,Govt. Elementary School Khalsa,Jalandhar,Jalandhar-II,268,Upper Primary,Punjabi
SCH0508,Govt. Senior Secondary School Kara,Bathinda,Rampura Phul,50,Secondary,hindi
SCH0377,Govt. Middle School Gandhi,Patiala,Nabha,193,Higher Secondary,punjabi
SCH0385,Govt. Middle School Mane,Ludhiana,Ludhiana-II,169,Secondary,punjabi
SCH0225,Govt. Middle School Chaudhry,Ludhiana,Doraha,236,Secondary,hindi
SCH0586,Govt. Elementary School Tailor,Amritsar,Amritsar-I,98,secondary,hindi
SCH0489,Govt. Elementary School Pant,Jalandhar,Jalandhar-I,181,Secondary,hindi
SCH0348,Govt. Elementary School Sarraf,Bathinda,Bathinda,431,Upper Primary,Hindi
SCH0128,Govt. Primary School Walla,Sangrur,Dhuri,77,Secondary,hindi
SCH0079,Govt. Primary School Dash,Bathinda,Maur,366,higher secondary,punjabi
SCH0446,Govt. Elementary School Kala,Ludhiana,Ludhiana-I,147,Upper Primary,Hindi
SCH0286,Govt. Elementary School Badal,Jalandhar,Nakodar,206,Primary,English
SCH0570,Govt. Primary School Padmanabhan,Patiala,Samana,71,Higher Secondary,English
SCH0044,Govt. Primary School Rajagopalan,Ferozepur,Makhu,413,Higher Secondary,hindi
SCH0108,Govt. Middle School Warrior,Sangrur,Malerkotla,386,Primary,English
SCH0523,Govt. Primary School Hora,Amritsar,Tarn Taran,356,Higher Secondary,hindi
SCH0557,Govt. Senior Secondary School Raghavan,ludhiana,Machhiwara,174,Higher Secondary,punjabi
SCH0134,Govt. Elementary School Suri,Bathinda,Rampura Phul,93,Upper Primary,Punjabi
SCH0441,Govt. Primary School Gara,Moga,Moga-I,441,Upper Primary,Hindi
SCH0062,Govt. Middle School Pradhan,Jalandhar,Jalandhar-I,173,Upper Primary,punjabi
SCH0045,Govt. Senior Secondary School Divan,Patiala,Samana,62,Primary,Punjabi
SCH0170,Govt. Middle School Mallick,Ludhiana,Ludhiana-II,407,higher secondary,punjabi
SCH0066,Govt. Senior Secondary School Devan,Moga,Moga-II,350,Primary,Punjabi
SCH0284,Govt. Senior Secondary School Prakash,Patiala,Rajpura,362,Higher Secondary,punjabi
SCH0086,Govt. Middle School Tata,Bathinda,Maur,257,Upper Primary,Punjabi
SCH0243,Govt. Senior Secondary School Deep,Bathinda,Maur,277,Higher Secondary,English
SCH0187,Govt. Primary School Chaudhari,Patiala,Patiala,142,Upper Primary,hindi
SCH0327,Govt. Middle School Muni,Ludhiana,Machhiwara,75,Secondary,hindi
SCH0160,Govt. Middle School Munshi,Jalandhar,Phillaur,62,Upper Primary,punjabi
SCH0013,Govt. Middle School Contractor,Bathinda,Bathinda,388,Secondary,punjabi
SCH0036,Govt. Elementary School Solanki,Ludhiana,Doraha,434,Secondary,punjabi
SCH0029,Govt. Primary School Lad,Amritsar,Amritsar-II,246,Upper Primary,punjabi
SCH0171,Govt. Primary School Dasgupta,Jalandhar,Jalandhar-I,308,Primary,punjabi
SCH0143,Govt. Elementary School Venkataraman,Patiala,Samana,76,Primary,English
SCH0237,Govt. Elementary School Sood,Jalandhar,Nakodar,136,primary,Punjabi
SCH0497,Govt. Senior Secondary School Wali,Sangrur,Sunam,160,Secondary,hindi
SCH0517,Govt. Senior Secondary School Mangat,Sangrur,Dhuri,316,higher secondary,punjabi
SCH0580,Govt. Primary School Apte,Sangrur,Malerkotla,274,Higher Secondary,punjabi
SCH0222,Govt. Middle School Edwin,Sangrur,Sunam,298,Upper Primary,punjabi
SCH0591,Govt. Senior Secondary School Anand,Ludhiana,,320,upper primary,English
SCH0096,Govt. Elementary School Walia,Jalandhar,Phillaur,406,Secondary,Hindi
SCH0052,Govt. Primary School Kannan,Sangrur,Dhuri,164,Primary,Hindi
SCH0241,Govt. Middle School Dass,Ludhiana,Ludhiana-II,360,higher secondary,punjabi
SCH0525,Govt. Elementary School Karpe,Ludhiana,Machhiwara,151,Secondary,punjabi
SCH0352,Govt. Middle School Jayaraman,,Nakodar,70,Upper Primary,English
SCH0533,Govt. Elementary School Tailor,Amritsar,Amritsar-II,289,Secondary,Punjabi
SCH0179,Govt. Elementary School Raman,Bathinda,Rampura Phul,268,Higher Secondary,Punjabi
SCH0461,Govt. Primary School Ramachandran,bathinda,Bathinda,412,Primary,hindi
SCH0543,Govt. Primary School Dey,ludhiana,Ludhiana-I,195,Upper Primary,Hindi
SCH0042,Govt. Elementary School Bhatnagar,Ferozepur,Makhu,182,Secondary,hindi
SCH0572,Govt. Middle School Dey,Patiala,Rajpura,163,Higher Secondary,Hindi
SCH0539,Govt. Senior Secondary School Kalita,Amritsar,Amritsar-I,307,Primary,Punjabi
SCH0207,Govt. Primary School Kaul,Sangrur,Malerkotla,283,Secondary,hindi
SCH0393,Govt. Senior Secondary School Bava,Bathinda,Talwandi Sabo,100,Primary,punjabi
SCH0283,Govt. Middle School Reddy,Amritsar,Amritsar-II,419,Upper Primary,punjabi
SCH0359,Govt. Primary School Bhavsar,Moga,Nihal Singh Wala,91,Upper Primary,Punjabi
SCH0398,Govt. Primary School Narasimhan,Patiala,Samana,47,upper primary,Hindi
SCH0255,Govt. Middle School Barman,Ferozepur,,48,Secondary,punjabi
SCH0518,Govt. Elementary School Sibal,Ferozepur,Makhu,217,Upper Primary,punjabi
SCH0218,Govt. Senior Secondary School Dugar,Ludhiana,Ludhiana-II,248,Higher Secondary,English
SCH0005,Govt. Elementary School Bajwa,Bathinda,,413,Primary,English
SCH0550,Govt. Senior Secondary School Mittal,Patiala,,51,Secondary,punjabi
SCH0099,Govt. Middle School Korpal,Sangrur,Malerkotla,210,Higher Secondary,Hindi
SCH0407,Govt. Elementary School Mitter,Bathinda,Maur,60,Upper Primary,Punjabi
SCH0503,Govt. Elementary School Lala,Jalandhar,Nakodar,161,Secondary,punjabi
SCH0048,Govt. Middle School Chana,Ferozepur,Ferozepur,195,Higher Secondary,punjabi
SCH0033,Govt. Primary School Shroff,Bathinda,Bathinda,381,Secondary,Hindi
SCH0201,Govt. Primary School Sagar,Ludhiana,Doraha,293,Higher Secondary,punjabi
SCH0135,Govt. Primary School Raghavan,Moga,Bagha Purana,98,Upper Primary,English
SCH0028,Govt. Primary School Sengupta,Ludhiana,Machhiwara,297,upper primary,Punjabi
SCH0541,Govt. Senior Secondary School Badami,Bathinda,Bathinda,227,primary,Punjabi
SCH0231,Govt. Primary School Datta,Amritsar,Tarn Taran,68,Higher Secondary,English
SCH0490,Govt. Middle School Dutta,Ludhiana,Ludhiana-I,86,Secondary,Hindi
SCH0379,Govt. Primary School Balay,Jalandhar,Jalandhar-I,199,higher secondary,Hindi
SCH0289,Govt. Elementary School Mohanty,Ferozepur,Mamdot,345,Higher Secondary,Hindi
SCH0419,Govt. Elementary School Sarkar,Moga,Moga-II,209,Primary,Hindi
SCH0392,Govt. Middle School Kara,Amritsar,Amritsar-II,221,Secondary,hindi
SCH0499,Govt. Middle School Oak,Ludhiana,Machhiwara,230,Higher Secondary,hindi
SCH0139,Govt. Elementary School Lata,jalandhar,Jalandhar-I,385,Higher Secondary,punjabi
SCH0063,Govt. Primary School Singhal,Bathinda,Talwandi Sabo,169,higher secondary,English
SCH0472,Govt. Senior Secondary School Nazareth,Jalandhar,,108,Primary,English
SCH0129,Govt. Elementary School Malhotra,Moga,,345,Higher Secondary,Punjabi
SCH0420,Govt. Elementary School Nair,Amritsar,Tarn Taran,267,higher secondary,Punjabi
SCH0521,Govt. Senior Secondary School Sharaf,Ferozepur,Mamdot,242,Higher Secondary,punjabi
SCH0065,Govt. Senior Secondary School Palla,Jalandhar,Jalandhar-II,104,Primary,English
SCH0015,Govt. Primary School Brahmbhatt,Bathinda,Maur,118,Upper Primary,punjabi
SCH0157,Govt. Middle School Keer,Jalandhar,Jalandhar-I,370,secondary,Hindi
SCH0041,Govt. Senior Secondary School Kuruvilla,Sangrur,Sunam,142,Higher Secondary,Hindi
SCH0493,Govt. Primary School Bhattacharyya,Sangrur,Sunam,427,Higher Secondary,English
SCH0380,Govt. Middle School Minhas,Ludhiana,Ludhiana-II,56,Secondary,punjabi
SCH0188,Govt. Elementary School Vig,Moga,Nihal Singh Wala,322,primary,punjabi
SCH0217,Govt. Primary School Apte,Patiala,Nabha,66,Secondary,Hindi
SCH0053,Govt. Elementary School Tailor,Jalandhar,Phillaur,65,Primary,hindi
SCH0338,Govt. Senior Secondary School Wali,Bathinda,,55,Higher Secondary,Punjabi
SCH0296,Govt. Senior Secondary School Dash,Patiala,Samana,403,Higher Secondary,Hindi
SCH0252,Govt. Primary School Krish,Sangrur,Sunam,317,Primary,Punjabi
SCH0462,Govt. Senior Secondary School Gulati,Ferozepur,Zira,58,Higher Secondary,Hindi
SCH0456,Govt. Middle School Bhatnagar,bathinda,Bathinda,168,Higher Secondary,Hindi
SCH0235,Govt. Senior Secondary School Balan,Amritsar,Amritsar-II,315,Upper Primary,Punjabi
SCH0270,Govt. Primary School Nadkarni,Jalandhar,Jalandhar-I,125,Higher Secondary,Hindi
SCH0202,Govt. Elementary School Karpe,Jalandhar,,412,Higher Secondary,hindi
SCH0162,Govt. Elementary School Deshpande,Sangrur,Dhuri,433,Higher Secondary,Hindi
SCH0402,Govt. Primary School Chakraborty,Patiala,Patiala,341,Primary,English
SCH0477,Govt. Primary School Gupta,Ludhiana,Ludhiana-I,87,Upper Primary,punjabi
SCH0106,Govt. Primary School Shanker,Ferozepur,Zira,165,Upper Primary,punjabi
SCH0390,Govt. Middle School Dutt,Patiala,Samana,411,Higher Secondary,Hindi
SCH0002,Govt. Primary School Dewan,,Tarn Taran,56,Upper Primary,hindi
SCH0576,Govt. Senior Secondary School Tripathi,,Amritsar-II,134,Secondary,Hindi
SCH0081,Govt. Middle School Batta,Ferozepur,,77,Primary,Hindi
SCH0206,Govt. Middle School Menon,Jalandhar,Nakodar,353,Higher Secondary,hindi
SCH0035,Govt. Elementary School Setty,Bathinda,Talwandi Sabo,168,primary,Punjabi
SCH0509,Govt. Elementary School Maharaj,Jalandhar,Nakodar,221,Higher Secondary,punjabi
SCH0428,Govt. Middle School Swamy,Jalandhar,Jalandhar-II,414,Primary,punjabi
SCH0455,Govt. Elementary School Borah,Patiala,Patiala,132,Primary,Punjabi
SCH0367,Govt. Primary School Vala,Bathinda,,177,Upper Primary,English
SCH0092,Govt. Middle School Bawa,Bathinda,Talwandi Sabo,429,higher secondary,punjabi
SCH0340,Govt. Elementary School Manda,Bathinda,Bathinda,51,Upper Primary,Punjabi
SCH0565,Govt. Middle School Kibe,ludhiana,,127,Upper Primary,Punjabi
SCH0346,Govt. Primary School Peri,Moga,Nihal Singh Wala,178,Secondary,English
SCH0242,Govt. Elementary School Bhardwaj,Moga,Nihal Singh Wala,249,Higher Secondary,Hindi
SCH0014,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi
SCH0316,Govt. Elementary School Dhingra,,Doraha,150,Primary,hindi
SCH0388,Govt. Elementary School Saini,Bathinda,Rampura Phul,136,Upper Primary,Hindi
SCH0274,Govt. Senior Secondary School Raval,Ferozepur,Makhu,98,Upper Primary,hindi
SCH0167,Govt. Elementary School Pall,Ludhiana,Doraha,281,Upper Primary,Punjabi
SCH0110,Govt. Primary School Goswami,Moga,Bagha Purana,398,Higher Secondary,punjabi
SCH0485,Govt. Senior Secondary School Gola,Ludhiana,Ludhiana-II,239,Primary,hindi
SCH0078,Govt. Senior Secondary School Bhavsar,Bathinda,Maur,224,Primary,Punjabi
SCH0505,Govt. Primary School Chakraborty,Patiala,Rajpura,235,Upper Primary,punjabi
SCH0244,Govt. Primary School Swamy,patiala,Samana,371,Higher Secondary,Hindi
SCH0567,Govt. Elementary School Sawhney,Patiala,Rajpura,300,Primary,hindi
SCH0563,Govt. Senior Secondary School Nayak,,Talwandi Sabo,281,Upper Primary,hindi
SCH0190,Govt. Senior Secondary School Chadha,Moga,Moga-II,439,Upper Primary,Punjabi
SCH0476,Govt. Primary School Chowdhury,Jalandhar,Jalandhar-I,48,Higher Secondary,hindi
SCH0511,Govt. Middle School Kuruvilla,Ferozepur,Ferozepur,80,Upper Primary,hindi
SCH0059,Govt. Middle School Barman,Bathinda,Talwandi Sabo,254,Upper Primary,Punjabi
SCH0475,Govt. Primary School Prakash,Bathinda,Maur,410,Higher Secondary,punjabi
SCH0561,Govt. Middle School Mishra,,Sunam,265,Upper Primary,Punjabi
SCH0253,Govt. Senior Secondary School Saha,Ludhiana,,110,upper primary,hindi
SCH0022,Govt. Primary School Aggarwal,Amritsar,Amritsar-I,377,Higher Secondary,Punjabi
SCH0314,Govt. Middle School Kakar,Patiala,Rajpura,366,Primary,hindi
SCH0460,Govt. Senior Secondary School Solanki,Sangrur,Sangrur,129,Primary,Hindi
SCH0161,Govt. Senior Secondary School Mand,Patiala,Nabha,198,Higher Secondary,hindi
SCH0277,Govt. Middle School Nagi,Sangrur,Dhuri,338,Higher Secondary,hindi
SCH0192,Govt. Middle School Varty,Bathinda,Bathinda,168,secondary,Punjabi
SCH0386,Govt. Elementary School Sama,Moga,Nihal Singh Wala,169,Secondary,Punjabi
SCH0414,Govt. Elementary School Goyal,Amritsar,Tarn Taran,342,Higher Secondary,hindi
SCH0492,Govt. Middle School Dalal,Bathinda,Rampura Phul,99,Secondary,punjabi
SCH0344,Govt. Senior Secondary School Bala,Sangrur,Sangrur,84,Upper Primary,hindi
SCH0309,Govt. Primary School Garde,Ferozepur,Zira,368,upper primary,Hindi
SCH0131,Govt. Elementary School Dani,Moga,,200,Secondary,Punjabi
SCH0100,Govt. Elementary School Sandal,Ferozepur,Zira,437,Secondary,Hindi
SCH0373,Govt. Middle School Soman,Amritsar,Amritsar-I,328,Secondary,English
SCH0088,Govt. Middle School Golla,bathinda,Talwandi Sabo,264,Primary,Punjabi
SCH0459,Govt. Elementary School Mani,Bathinda,Rampura Phul,108,Secondary,English
SCH0331,Govt. Primary School Raju,Patiala,,291,Upper Primary,Hindi
SCH0215,Govt. Elementary School Saha,Bathinda,Bathinda,187,Primary,punjabi
SCH0467,Govt. Elementary School Krishnan,Bathinda,Rampura Phul,336,Upper Primary,Punjabi
SCH0122,Govt. Senior Secondary School Ahluwalia,Ludhiana,,442,Upper Primary,hindi
SCH0021,Govt. Elementary School Sami,Sangrur,Sunam,316,Higher Secondary,Hindi
SCH0072,Govt. Senior Secondary School Sengupta,Ferozepur,Makhu,54,Secondary,English
SCH0107,Govt. Elementary School Krishna,Patiala,Rajpura,338,Higher Secondary,Punjabi
SCH0271,Govt. Elementary School Mohan,Sangrur,Sunam,274,secondary,hindi
SCH0436,Govt. Primary School Joshi,Ferozepur,,253,Secondary,English
SCH0103,Govt. Elementary School Parsa,Amritsar,Ajnala,385,Higher Secondary,Punjabi
